id,issuedDate,distributorid,status,validFrom,validThrough,type,planesValue,horizontalSize,verticalSize,area,CATUTTC,district
66958-18,2018-07-26,37936023,Чинний,2018-07-26,2026-02-04,"Конструкції на даху будинку (будівлі), споруді",1.0,11.0,6.0,66.0,UA80000000000210193,Дарницький
64976-17,2024-04-24,23744453,Чинний,2024-08-14,2029-08-13,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,5.335,0.6,3.201,UA80000000000551439,Оболонський
66832-18,2018-08-23,14360570,Чинний,2018-08-23,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.0,0.504,1.512,UA80000000000551439,Оболонський
67010-18,2018-07-17,33988130,Чинний,2018-07-17,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,9.44,1.62,15.2928,UA80000000000980793,Солом'янський
66786-18,2025-08-11,38615606,Чинний,2026-02-05,2031-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,6.0,1.5,9.0,UA80000000000551439,Оболонський
66837-18,2018-07-26,39871094,Чинний,2018-07-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,5.085,1.55,7.8818,UA80000000001078669,Шевченківський
66838-18,2018-07-26,39871094,Чинний,2018-07-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.115,1.55,4.8283,UA80000000001078669,Шевченківський
66840-18,2024-03-07,14360570,Чинний,2024-08-14,2029-08-13,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,5.0,0.842,4.21,UA80000000000479391,Дніпровський
66773-18,2023-08-24,36203680,Чинний,2024-02-16,2029-02-15,"Банер, панно на фасаді будинку (будівлі)",1.0,9.6,18.5,177.6,UA80000000000126643,Голосіївський
66750-18,2018-06-14,38891722,Чинний,2018-06-14,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.0,0.65,1.95,UA80000000000551439,Оболонський
66950-18,2018-08-20,36853266,Чинний,2018-08-20,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.89,0.86,3.3454,UA80000000000336424,Деснянський
66967-18-П-1,2018-08-09,45705609,Чинний,2018-08-09,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.31,0.215,0.4967,UA80000000001078669,Шевченківський
67008-18,2018-07-17,33988130,Чинний,2018-07-17,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,7.767,1.2,9.3204,UA80000000000980793,Солом'янський
67009-18,2018-07-17,33988130,Чинний,2018-07-17,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,9.44,1.6,15.104,UA80000000000980793,Солом'янський
67004-18,2018-07-17,33988130,Чинний,2018-07-17,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,9.719,1.9,18.4661,UA80000000000980793,Солом'янський
67005-18,2018-07-17,33988130,Чинний,2018-07-17,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,9.719,1.9,18.4661,UA80000000000980793,Солом'янський
67000-18,2018-08-20,20782312,Чинний,2018-08-20,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.0,0.5,1.5,UA80000000000624772,Печерський
66939-18,2024-01-25,32049199,Чинний,2024-05-14,2029-05-13,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,19.3,1.42,27.406,UA80000000000126643,Голосіївський
67061-18,2024-01-31,32049199,Чинний,2024-05-14,2029-05-13,Конструкція на даху будинку (будівлі),1.0,13.5,2.5,33.75,UA80000000000210193,Дарницький
67064-18,2024-06-13,31566191,Чинний,2024-11-12,2029-11-11,Конструкція на даху будинку (будівлі),1.0,13.8,1.6,22.08,UA80000000000980793,Солом'янський
67065-18,2018-07-30,31566191,Чинний,2018-07-30,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,14.4,1.7,24.48,UA80000000000980793,Солом'янський
67066-18,2018-08-23,39871094,Чинний,2018-08-23,2026-02-04,Відеоекран на фасаді будинку,1.0,5.44,3.25,17.68,UA80000000001078669,Шевченківський
67177-18,2024-06-05,9806443,Чинний,2024-11-12,2029-11-11,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,1.5,0.57,0.855,UA80000000000719633,Подільський
67178-18,2024-06-05,9806443,Чинний,2024-11-12,2029-11-11,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,1.5,0.57,0.855,UA80000000000719633,Подільський
67179-18,2024-06-05,9806443,Чинний,2024-11-12,2029-11-11,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,1.5,0.57,0.855,UA80000000000719633,Подільський
